time,tp_mm_mean_aw,tp_mm_median,tp_mm_max,tp_mm_p75,tp_frac_gt_0.1
2017-01-06-23,0.0003020184391660013,0.0,0.0013313256204128265,0.0006634800229221582,0.0
2017-01-07-00,0.00020992575948579432,0.0,0.0006737391231581569,0.0005325273377820849,0.0
2017-01-07-01,5.136776497643284e-05,0.0,0.00033686956157907844,0.0,0.0
2017-01-07-02,0.0,0.0,0.0,0.0,0.0
2017-01-07-03,0.0,0.0,0.0,0.0,0.0
2017-01-07-04,0.0,0.0,0.0,0.0,0.0
2017-01-07-05,0.0,0.0,0.0,0.0,0.0
2017-01-07-06,0.0,0.0,0.0,0.0,0.0
2017-01-07-07,0.0,0.0,0.0,0.0,0.0
2017-01-07-08,0.0,0.0,0.0,0.0,0.0
2017-01-07-09,0.0,0.0,0.0,0.0,0.0
2017-01-07-10,0.0,0.0,0.0,0.0,0.0
2017-01-07-11,0.0,0.0,0.0,0.0,0.0
2017-01-07-12,0.0,0.0,0.0,0.0,0.0
2017-01-07-13,0.0,0.0,0.0,0.0,0.0
2017-01-07-14,0.0,0.0,0.0,0.0,0.0
2017-01-07-15,0.0,0.0,0.0,0.0,0.0
2017-01-07-16,0.0,0.0,0.0,0.0,0.0
2017-01-07-17,0.0,0.0,0.0,0.0,0.0
2017-01-07-18,0.0,0.0,0.0,0.0,0.0
2017-01-07-19,0.0,0.0,0.0,0.0,0.0
2017-01-07-20,0.0,0.0,0.0,0.0,0.0
2017-01-07-21,0.0,0.0,0.0,0.0,0.0
2017-01-07-22,0.0,0.0,0.0,0.0,0.0
2017-01-07-23,0.0,0.0,0.0,0.0,0.0
2017-01-08-00,0.0,0.0,0.0,0.0,0.0
2017-01-08-01,0.0,0.0,0.0,0.0,0.0
2017-01-08-02,0.0,0.0,0.0,0.0,0.0
2017-01-08-03,0.0,0.0,0.0,0.0,0.0
2017-01-08-04,0.0,0.0,0.0,0.0,0.0
2017-01-08-05,0.0,0.0,0.0,0.0,0.0
2017-01-08-06,0.0,0.0,0.0,0.0,0.0
2017-01-08-07,0.0,0.0,0.0,0.0,0.0
2017-01-08-08,0.0,0.0,0.0,0.0,0.0
2017-01-08-09,0.0,0.0,0.0,0.0,0.0
2017-01-08-10,0.0,0.0,0.0,0.0,0.0
2017-01-08-11,0.0,0.0,0.0,0.0,0.0
2017-01-08-12,0.0,0.0,0.0,0.0,0.0
2017-01-08-13,0.0,0.0,0.0,0.0,0.0
2017-01-08-14,0.0,0.0,0.0,0.0,0.0
2017-01-08-15,0.0,0.0,0.0,0.0,0.0
2017-01-08-16,0.0,0.0,0.0,0.0,0.0
2017-01-08-17,0.0,0.0,0.0,0.0,0.0
2017-01-08-18,0.0,0.0,0.0,0.0,0.0
2017-01-08-19,0.0,0.0,0.0,0.0,0.0
2017-01-08-20,0.0,0.0,0.0,0.0,0.0
2017-01-08-21,0.0,0.0,0.0,0.0,0.0
2017-01-08-22,0.0,0.0,0.0,0.0,0.0
2017-01-08-23,0.0,0.0,0.0,0.0,0.0
2017-01-09-00,0.0,0.0,0.0,0.0,0.0
2017-01-09-01,0.0,0.0,0.0,0.0,0.0
2017-01-09-02,0.0,0.0,0.0,0.0,0.0
2017-01-09-03,0.0,0.0,0.0,0.0,0.0
2017-01-09-04,0.0,0.0,0.0,0.0,0.0
2017-01-09-05,0.0,0.0,0.0,0.0,0.0
2017-01-09-06,0.0,0.0,0.0,0.0,0.0
2017-01-09-07,2.6837265084484437e-05,0.0,0.00024151086108759046,0.0,0.0
2017-01-09-08,2.6837265084484437e-05,0.0,0.00024151086108759046,0.0,0.0
2017-01-09-09,9.88738268086164e-05,0.0,0.0006737391231581569,0.0,0.0
2017-01-09-10,9.88738268086164e-05,0.0,0.0006737391231581569,0.0,0.0
2017-01-09-11,7.20373702459614e-05,0.0,0.0006737391231581569,0.0,0.0
2017-01-09-12,0.0,0.0,0.0,0.0,0.0
2017-01-09-13,0.0,0.0,0.0,0.0,0.0
2017-01-09-14,0.0,0.0,0.0,0.0,0.0
2017-01-09-15,0.0,0.0,0.0,0.0,0.0
2017-01-09-16,0.0,0.0,0.0,0.0,0.0
2017-01-09-17,2.6309767212555007e-05,0.0,0.0002460656105540693,0.0,0.0
2017-01-09-18,0.0,0.0,0.0,0.0,0.0
2017-01-09-19,2.6309767212555007e-05,0.0,0.0002460656105540693,0.0,0.0
2017-01-09-20,2.6309767212555007e-05,0.0,0.0002460656105540693,0.0,0.0
2017-01-09-21,2.6309767212555007e-05,0.0,0.0002460656105540693,0.0,0.0
2017-01-09-22,2.6309767212555007e-05,0.0,0.0002460656105540693,0.0,0.0
2017-01-09-23,0.0,0.0,0.0,0.0,0.0
2017-01-10-00,0.0,0.0,0.0,0.0,0.0
2017-01-10-01,0.0,0.0,0.0,0.0,0.0
2017-01-10-02,0.0,0.0,0.0,0.0,0.0
2017-01-10-03,0.0,0.0,0.0,0.0,0.0
2017-01-10-04,0.0,0.0,0.0,0.0,0.0
2017-01-10-05,0.0,0.0,0.0,0.0,0.0
2017-01-10-06,0.0,0.0,0.0,0.0,0.0
2017-01-10-07,0.00013385392610833522,0.0,0.0007597554940730333,0.0,0.0
2017-01-10-08,0.0,0.0,0.0,0.0,0.0
2017-01-10-09,2.6309767212555007e-05,0.0,0.0002460656105540693,0.0,0.0
2017-01-10-10,0.0,0.0,0.0,0.0,0.0
2017-01-10-11,0.0,0.0,0.0,0.0,0.0
2017-01-10-12,0.0,0.0,0.0,0.0,0.0
2017-01-10-13,0.0,0.0,0.0,0.0,0.0
2017-01-10-14,0.0,0.0,0.0,0.0,0.0
2017-01-10-15,0.0,0.0,0.0,0.0,0.0
2017-01-10-16,0.0,0.0,0.0,0.0,0.0
2017-01-10-17,0.0,0.0,0.0,0.0,0.0
2017-01-10-18,3.60186851229807e-05,0.0,0.00033686956157907844,0.0,0.0
2017-01-10-19,8.122475765043209e-05,0.0,0.0004068133421242237,0.0,0.0
2017-01-10-20,0.0001289073019777838,0.0,0.0008359056664630771,0.0,0.0
2017-01-10-21,0.00022355268291136815,0.0,0.0013634853530675173,0.0,0.0
2017-01-10-22,0.0002977685134889579,0.0,0.001770298695191741,0.00019837170839309692,0.0
2017-01-10-23,0.0004037141498561158,0.0,0.0020340667106211185,0.0003871391527354717,0.0
2017-01-11-00,0.00044988670080600723,0.0,0.0024186447262763977,0.0003871391527354717,0.0
2017-01-11-01,0.00044740938992061393,0.0,0.0023963511921465397,0.0003871391527354717,0.0
2017-01-11-02,0.0004721795779228538,0.0,0.0023963511921465397,0.0006737536750733852,0.0
2017-01-11-03,0.0004403884995894122,0.0,0.0021102605387568474,0.0006737536750733852,0.0
2017-01-11-04,0.00040860700126326956,0.0,0.0018242280930280685,0.0006737536750733852,0.0
2017-01-11-05,0.0003817705447006146,0.0,0.0015827245078980923,0.0006737536750733852,0.0
2017-01-11-06,0.00027065884593616753,0.0,0.0011758820619434118,0.0004921457730233669,0.0
2017-01-11-07,0.0010792166220537072,0.0006656628102064133,0.006172456778585911,0.0007597263902425766,0.0
2017-01-11-08,0.0010669054329872836,0.0004540197551250458,0.006029382348060608,0.0007670605555176735,0.0
2017-01-11-09,0.0009146651367405946,0.000476837158203125,0.004761270247399807,0.0007597263902425766,0.0
2017-01-11-10,0.0008493412417093906,0.00035599805414676666,0.004497473128139973,0.0007597263902425766,0.0
2017-01-11-11,0.0007693991000003201,0.00033690594136714935,0.004332163371145725,0.000476837158203125,0.0
2017-01-11-12,0.0007113296468969038,0.00033690594136714935,0.0039476435631513596,0.000476837158203125,0.0
2017-01-11-13,0.0007379002612534604,0.0003798631951212883,0.003397755790501833,0.0006737536750733852,0.0
2017-01-11-14,0.0006432501514435535,0.0003368477337062359,0.0029909424483776093,0.000476837158203125,0.0
2017-01-11-15,0.0005778747555245738,0.00033172545954585075,0.00284792622551322,0.0003798631951212883,0.0
2017-01-11-16,0.0010672010852397584,0.0004289904609322548,0.005019013769924641,0.0009308569133281708,0.0
2017-01-11-17,0.006658976758807709,0.0030326766427606344,0.021297775208950043,0.008823640644550323,0.0
2017-01-11-18,0.01713206911907698,0.015258892439305782,0.04519345983862877,0.021652422845363617,0.0
2017-01-11-19,0.023149890590036745,0.017303600907325745,0.06750375032424927,0.03155842050909996,0.0
2017-01-11-20,0.024166271181082527,0.007404678966850042,0.0795542374253273,0.027932889759540558,0.0
2017-01-11-21,0.012339456964636963,0.0036704735830426216,0.06652171164751053,0.0072318511083722115,0.0
2017-01-11-22,0.006339647829341378,0.004590023308992386,0.020953360944986343,0.006926245987415314,0.0
2017-01-11-23,0.007547722383168091,0.005298939533531666,0.01826108805835247,0.014043592847883701,0.0
2017-01-12-00,0.01222588397068003,0.005964014213532209,0.035165634006261826,0.022430729120969772,0.0
2017-01-12-01,0.015554424439756489,0.0059640915133059025,0.047855913639068604,0.027708610519766808,0.0
2017-01-12-02,0.01585374359395422,0.010129456408321857,0.047977473586797714,0.017380734905600548,0.0
2017-01-12-03,0.016813749034547312,0.013008270412683487,0.04554402455687523,0.020691681653261185,0.0
2017-01-12-04,0.017663316310622068,0.01722632721066475,0.037254419177770615,0.029421065002679825,0.0
2017-01-12-05,0.01947757959188554,0.020172446966171265,0.034926459193229675,0.02736411988735199,0.0
2017-01-12-06,0.02003254083043413,0.019934821873903275,0.035283949226140976,0.026241738349199295,0.0
2017-01-12-07,0.018216507615385603,0.01674237847328186,0.030378803610801697,0.025189008563756943,0.0
2017-01-12-08,0.019425981468061498,0.022357141599059105,0.03316327556967735,0.024176480248570442,0.0
2017-01-12-09,0.024181620794378772,0.025917552411556244,0.039977725595235825,0.034830305725336075,0.0
2017-01-12-10,0.03206755883024298,0.02968597039580345,0.05524705350399017,0.050540149211883545,0.0
2017-01-12-11,0.04220307701171947,0.034519340842962265,0.07235711067914963,0.0690825805068016,0.0
2017-01-12-12,0.04555055004493876,0.04341479763388634,0.07391375303268433,0.06647621095180511,0.0
2017-01-12-13,0.04579271832956909,0.06013310328125954,0.07978960126638412,0.06122647598385811,0.0
2017-01-12-14,0.04523556034027779,0.051940008997917175,0.09340249001979828,0.06823815405368805,0.0
2017-01-12-15,0.04976557411685439,0.06160420924425125,0.10897686332464218,0.06615837663412094,0.1111111111111111
2017-01-12-16,0.05428135143595876,0.06149568781256676,0.10892049968242645,0.0746515542268753,0.1111111111111111
2017-01-12-17,0.05484957821280361,0.055749811232089996,0.09860368072986603,0.08369879424571991,0.0
2017-01-12-18,0.051200445060122037,0.05546453967690468,0.0953456312417984,0.06922762095928192,0.0
2017-01-12-19,0.058784527719568,0.05117062106728554,0.12560005486011505,0.08383210003376007,0.1111111111111111
2017-01-12-20,0.047660054432279324,0.042175374925136566,0.09441140294075012,0.05732985585927963,0.0
2017-01-12-21,0.04019924798160935,0.036252692341804504,0.086944580078125,0.05031566321849823,0.0
2017-01-12-22,0.03436763929878402,0.03262399137020111,0.06549409031867981,0.05101947486400604,0.0
2017-01-12-23,0.02647022144009025,0.023499418050050735,0.04685698822140694,0.038710709661245346,0.0
2017-01-13-00,0.021275240713696634,0.020358329638838768,0.041387591511011124,0.028459904715418816,0.0
2017-01-13-01,0.018369158641395322,0.016462065279483795,0.03839750587940216,0.019899576902389526,0.0
2017-01-13-02,0.016656986660430945,0.01689106598496437,0.03230259194970131,0.019892718642950058,0.0
2017-01-13-03,0.013778235092375121,0.01414832379668951,0.021287377923727036,0.017985839396715164,0.0
2017-01-13-04,0.011450890548980063,0.009734125807881355,0.020518841221928596,0.01465197466313839,0.0
2017-01-13-05,0.010270818300596382,0.011097786016762257,0.021635234355926514,0.013383251614868641,0.0
2017-01-13-06,0.007854726284184427,0.0058716596104204655,0.022680634632706642,0.009952249005436897,0.0
2017-01-13-07,0.008482219202016425,0.0059098247438669205,0.02295442298054695,0.012459816411137581,0.0
2017-01-13-08,0.0069083194621693085,0.005465393885970116,0.023070184513926506,0.00800417922437191,0.0
2017-01-13-09,0.006523689035221397,0.005639795679599047,0.023066705092787743,0.006389976013451815,0.0
2017-01-13-10,0.0067208318187988595,0.003649314632639289,0.024027584120631218,0.008414892479777336,0.0
2017-01-13-11,0.008345462981490744,0.002653803676366806,0.030015595257282257,0.015768688172101974,0.0
2017-01-13-12,0.010574447580481944,0.0016586855053901672,0.035842880606651306,0.026821158826351166,0.0
2017-01-13-13,0.012480407875652142,0.0012172386050224304,0.043764710426330566,0.03140885382890701,0.0
2017-01-13-14,0.014591651467113624,0.001957640051841736,0.05352124571800232,0.03333669155836105,0.0
2017-01-13-15,0.015460819163357127,0.0032279640436172485,0.05911104381084442,0.03064144402742386,0.0
2017-01-13-16,0.015509509784223413,0.003730623982846737,0.05687934160232544,0.03004700504243374,0.0
2017-01-13-17,0.015807761829840596,0.00428814860060811,0.05887948349118233,0.02720985934138298,0.0
2017-01-13-18,0.015620143657078745,0.003296881914138794,0.06496161222457886,0.024314969778060913,0.0
2017-01-13-19,0.017626030073821634,0.0027675312012434006,0.06289558112621307,0.035648804157972336,0.0
2017-01-13-20,0.014720702542372155,0.002290858654305339,0.046836014837026596,0.03262216970324516,0.0
2017-01-13-21,0.012396255057491149,0.002420235425233841,0.03965544328093529,0.030541520565748215,0.0
2017-01-13-22,0.011475977656330244,0.003870645770803094,0.03384619578719139,0.023319454863667488,0.0
2017-01-13-23,0.011349126292342315,0.008562508970499039,0.029294680804014206,0.018102511763572693,0.0
2017-01-14-00,0.014162603021545284,0.015199904330074787,0.026167159900069237,0.023796943947672844,0.0
2017-01-14-01,0.02032445439578179,0.01984768733382225,0.06166034936904907,0.024582531303167343,0.0
2017-01-14-02,0.030931761071578266,0.016124006360769272,0.11515899002552032,0.04275983199477196,0.1111111111111111
2017-01-14-03,0.048207096720597725,0.014218674041330814,0.1858651489019394,0.0740356594324112,0.2222222222222222
2017-01-14-04,0.06921368397332973,0.0206358190625906,0.23347283899784088,0.10494286566972733,0.3333333333333333
2017-01-14-05,0.09482746176045381,0.05878189578652382,0.2772403657436371,0.12527087330818176,0.4444444444444444
2017-01-14-06,0.12118431882036283,0.10462159663438797,0.31886306405067444,0.16067977249622345,0.5555555555555556
2017-01-14-07,0.189258362191521,0.19046354293823242,0.3335146903991699,0.26901501417160034,0.7777777777777778
2017-01-14-08,0.22331824541386008,0.20476552844047546,0.36300840973854065,0.27846667170524597,1.0
2017-01-14-09,0.24759199040234536,0.22291596233844757,0.3671554625034332,0.2659691274166107,1.0
2017-01-14-10,0.2543259882591178,0.2643248438835144,0.30278658866882324,0.274830162525177,1.0
2017-01-14-11,0.2510034353562033,0.23826521635055542,0.3382594585418701,0.3168986439704895,1.0
2017-01-14-12,0.23670686360295415,0.20091846585273743,0.39563193917274475,0.31833216547966003,1.0
2017-01-14-13,0.20484368626568472,0.14736905694007874,0.4064182937145233,0.29855623841285706,1.0
2017-01-14-14,0.16941292390971713,0.1036994531750679,0.34225958585739136,0.2740122675895691,0.5555555555555556
2017-01-14-15,0.14188923008207904,0.09778410941362381,0.26990368962287903,0.24137915670871735,0.4444444444444444
2017-01-14-16,0.11948327978316917,0.11143966019153595,0.20850582420825958,0.18080829083919525,0.5555555555555556
2017-01-14-17,0.10900382402824157,0.11830775439739227,0.17792730033397675,0.1664385050535202,0.5555555555555556
2017-01-14-18,0.11171549800084475,0.11128498613834381,0.18660663068294525,0.16187070310115814,0.5555555555555556
2017-01-14-19,0.1619319925330064,0.14890290796756744,0.26411497592926025,0.22600896656513214,0.7777777777777778
2017-01-14-20,0.2182672327607217,0.20131078362464905,0.4072001278400421,0.2912169396877289,0.7777777777777778
2017-01-14-21,0.2713581891547544,0.30111929774284363,0.420611709356308,0.36206504702568054,1.0
2017-01-14-22,0.3053975317461165,0.30745333433151245,0.49105799198150635,0.3867945671081543,1.0
2017-01-14-23,0.3117345334060939,0.30793067812919617,0.48671481013298035,0.3695395290851593,1.0
