time,tcc_mean,tcc_median,tcc_max,tcc_p75
2015-01-04-22,0.005410830024629831,0.0,0.048697471618652344,0.0
2015-01-04-23,0.004014121368527412,0.0,0.03612709045410156,0.0
2015-01-05-00,0.001720084110274911,0.0,0.015480756759643555,0.0
2015-01-05-01,0.006145583465695381,0.0,0.05531024932861328,0.0
2015-01-05-02,0.00836139265447855,0.0,0.07525253295898438,0.0
2015-01-05-03,0.0073816510848701,0.0,0.06643486022949219,0.0
2015-01-05-04,0.012792374938726425,0.0,0.11513137817382812,0.0
2015-01-05-05,0.010170619003474712,0.0,0.09153556823730469,0.0
2015-01-05-06,0.0814870223402977,0.0,0.6979522705078125,0.0051727294921875
2015-01-05-07,0.004184246063232422,0.0,0.025830745697021484,0.0
2015-01-05-08,0.0,0.0,0.0,0.0
2015-01-05-09,0.0,0.0,0.0,0.0
2015-01-05-10,0.0300920270383358,0.0,0.2708282470703125,0.0
2015-01-05-11,0.022488487884402275,0.0,0.14786911010742188,0.0199432373046875
2015-01-05-12,0.07015737146139145,0.01592254638671875,0.43990325927734375,0.0487060546875
2015-01-05-13,0.04100291058421135,0.036296844482421875,0.13943862915039062,0.06957626342773438
2015-01-05-14,0.04977501928806305,0.02233123779296875,0.15857315063476562,0.07651901245117188
2015-01-05-15,0.03268326818943024,0.013956069946289062,0.09159278869628906,0.05577278137207031
2015-01-05-16,0.018781237304210663,0.0,0.08117103576660156,0.031179428100585938
2015-01-05-17,0.011609289795160294,0.0,0.05460643768310547,0.012305259704589844
2015-01-05-18,0.008321868255734444,0.0,0.041741371154785156,0.0
2015-01-05-19,0.009428871795535088,0.0,0.05702495574951172,0.0
2015-01-05-20,0.008502854034304619,0.0,0.043308258056640625,0.0
2015-01-05-21,0.023014068603515625,0.0,0.09073448181152344,0.03477668762207031
2015-01-05-22,0.007921112701296806,0.0,0.04846477508544922,0.008868217468261719
2015-01-05-23,0.011822594329714775,0.0,0.07109451293945312,0.0027942657470703125
2015-01-06-00,0.010608779266476631,0.0,0.0591278076171875,0.0
2015-01-06-01,0.018126169219613075,0.0,0.12696075439453125,0.0
2015-01-06-02,0.00476031843572855,0.0,0.03251361846923828,0.0
2015-01-06-03,0.0037733714561909437,0.0,0.03396034240722656,0.0
2015-01-06-04,0.0088564557954669,0.0,0.07970809936523438,0.0
2015-01-06-05,0.001314136665314436,0.0,0.011827230453491211,0.0
2015-01-06-06,0.0,0.0,0.0,0.0
2015-01-06-07,0.0,0.0,0.0,0.0
2015-01-06-08,0.0,0.0,0.0,0.0
2015-01-06-09,0.0,0.0,0.0,0.0
2015-01-06-10,0.0,0.0,0.0,0.0
2015-01-06-11,0.0,0.0,0.0,0.0
2015-01-06-12,0.0,0.0,0.0,0.0
2015-01-06-13,0.0,0.0,0.0,0.0
2015-01-06-14,0.0,0.0,0.0,0.0
2015-01-06-15,0.0,0.0,0.0,0.0
2015-01-06-16,0.0,0.0,0.0,0.0
2015-01-06-17,0.0,0.0,0.0,0.0
2015-01-06-18,0.0,0.0,0.0,0.0
2015-01-06-19,0.0,0.0,0.0,0.0
2015-01-06-20,0.0,0.0,0.0,0.0
2015-01-06-21,0.0,0.0,0.0,0.0
2015-01-06-22,0.0766771137714386,0.0,0.5648651123046875,0.0610504150390625
2015-01-06-23,0.0971238911151886,0.0,0.7864990234375,0.00811767578125
2015-01-07-00,0.1115671768784523,0.0,0.8227386474609375,0.0258026123046875
2015-01-07-01,0.0984717458486557,0.0,0.7930145263671875,0.0
2015-01-07-02,0.0859764963388443,0.0,0.7565155029296875,0.0
2015-01-07-03,0.0846065953373909,0.0,0.717529296875,0.0
2015-01-07-04,0.0807681605219841,0.0,0.5831756591796875,0.0
