date_slot,mean,median,max,origin
2012-01-25-05,0.0,0.0,0.0,0
2012-01-25-07,6594.28,6594.28,6594.28,0
2012-01-25-08,0.0,0.0,0.0,0
2012-01-25-10,0.0,0.0,0.0,0
2012-01-25-12,0.0,0.0,0.0,0
2012-01-25-14,0.0,0.0,0.0,0
2012-01-25-15,0.0,0.0,0.0,0
2012-01-25-17,0.0,0.0,0.0,0
2012-01-25-19,0.0,0.0,0.0,0
2012-01-25-20,0.0,0.0,0.0,0
2012-01-25-22,0.0,0.0,0.0,0
2012-01-25-23,0.0,0.0,0.0,0
2012-01-26-01,170.85,170.85,170.85,0
2012-01-26-03,0.0,0.0,0.0,0
2012-01-26-05,0.0,0.0,0.0,0
2012-01-26-06,0.0,0.0,0.0,0
2012-01-26-08,0.0,0.0,0.0,0
2012-01-26-10,0.0,0.0,0.0,0
2012-01-26-12,0.0,0.0,0.0,0
2012-01-26-13,0.0,0.0,0.0,0
2012-01-26-15,0.0,0.0,0.0,0
2012-01-26-17,0.0,0.0,0.0,0
2012-01-26-18,0.0,0.0,0.0,0
2012-01-26-20,0.0,0.0,0.0,0
2012-01-26-22,0.0,0.0,0.0,0
2012-01-26-23,0.0,0.0,0.0,0
2012-01-27-01,38.22,38.22,40.61,0
2012-01-27-03,0.0,0.0,0.0,0
2012-01-27-04,0.0,0.0,0.0,0
2012-01-27-06,0.0,0.0,0.0,0
2012-01-27-08,0.0,0.0,0.0,0
2012-01-27-10,0.0,0.0,0.0,0
2012-01-27-11,0.0,0.0,0.0,0
2012-01-27-13,0.0,0.0,0.0,0
2012-01-27-15,0.0,0.0,0.0,0
2012-01-27-17,0.0,0.0,0.0,0
2012-01-27-18,0.0,0.0,0.0,0
2012-01-27-20,0.0,0.0,0.0,0
2012-01-27-22,0.0,0.0,0.0,0
2012-01-27-23,0.0,0.0,0.0,0
2012-01-28-00,0.0,0.0,0.0,0
2012-01-28-01,0.0,0.0,0.0,0
2012-01-28-03,0.0,0.0,0.0,0
2012-01-28-04,0.0,0.0,0.0,0
2012-01-28-06,0.0,0.0,0.0,0
2012-01-28-08,0.0,0.0,0.0,0
2012-01-28-09,0.0,0.0,0.0,0
2012-01-28-11,0.0,0.0,0.0,0
2012-01-28-13,0.0,0.0,0.0,0
2012-01-28-15,0.0,0.0,0.0,0
2012-01-28-16,0.0,0.0,0.0,0
2012-01-28-18,0.0,0.0,0.0,0
2012-01-28-20,0.0,0.0,0.0,0
2012-01-28-21,0.0,0.0,0.0,0
2012-01-28-23,0.0,0.0,0.0,0
2012-01-29-00,0.0,0.0,0.0,0
2012-01-29-01,0.0,0.0,0.0,0
2012-01-29-02,0.0,0.0,0.0,0
2012-01-29-04,0.0,0.0,0.0,0
2012-01-29-07,168.78,168.78,288.01,1
2012-01-29-09,0.0,0.0,0.0,0
2012-01-29-11,0.0,0.0,0.0,0
2012-01-29-13,0.0,0.0,0.0,0
2012-01-29-14,0.0,0.0,0.0,0
2012-01-29-16,0.0,0.0,0.0,0
2012-01-29-18,0.0,0.0,0.0,0
2012-01-29-19,0.0,0.0,0.0,0
2012-01-29-21,0.0,0.0,0.0,0
2012-01-29-23,0.0,0.0,0.0,0
2012-01-30-00,0.0,0.0,0.0,0
2012-01-30-02,0.0,0.0,0.0,0
2012-01-30-04,0.0,0.0,0.0,0
2012-01-30-07,16.18,16.18,29.94,1
2012-01-30-09,0.0,0.0,0.0,0
2012-01-30-11,0.0,0.0,0.0,0
2012-01-30-13,0.0,0.0,0.0,0
2012-01-30-14,0.0,0.0,0.0,0
2012-01-30-16,0.0,0.0,0.0,0
2012-01-30-18,0.0,0.0,0.0,0
2012-01-30-19,0.0,0.0,0.0,0
2012-01-30-21,0.0,0.0,0.0,0
2012-01-30-23,0.0,0.0,0.0,0
2012-01-31-00,0.0,0.0,0.0,0
2012-01-31-02,0.0,0.0,0.0,0
2012-01-31-04,0.0,0.0,0.0,0
2012-01-31-05,0.0,0.0,0.0,0
2012-01-31-07,0.0,0.0,0.0,0
2012-01-31-09,0.0,0.0,0.0,0
2012-01-31-11,0.0,0.0,0.0,0
2012-01-31-12,0.0,0.0,0.0,0
2012-01-31-14,0.0,0.0,0.0,0
2012-01-31-16,0.0,0.0,0.0,0
2012-01-31-17,0.0,0.0,0.0,0
2012-01-31-19,0.0,0.0,0.0,0
2012-01-31-21,0.0,0.0,0.0,0
2012-01-31-22,0.0,0.0,0.0,0
2012-02-01-02,0.0,0.0,0.0,0
2012-02-01-03,0.0,0.0,0.0,0
2012-02-01-05,0.0,0.0,0.0,0
2012-02-01-07,0.0,0.0,0.0,0
2012-02-01-09,0.0,0.0,0.0,0
2012-02-01-10,0.0,0.0,0.0,0
2012-02-01-12,0.0,0.0,0.0,0
2012-02-01-14,0.0,0.0,0.0,0
2012-02-01-16,0.0,0.0,0.0,0
2012-02-01-17,0.0,0.0,0.0,0
2012-02-01-19,0.0,0.0,0.0,0
2012-02-01-21,0.0,0.0,0.0,0
2012-02-01-22,0.0,0.0,0.0,0
2012-02-01-23,0.0,0.0,0.0,0
2012-02-02-01,43.8,43.8,55.78,0
2012-02-02-03,0.0,0.0,0.0,0
2012-02-02-05,0.0,0.0,0.0,0
2012-02-02-07,0.0,0.0,0.0,0
2012-02-02-08,0.0,0.0,0.0,0
2012-02-02-10,0.0,0.0,0.0,0
2012-02-02-12,0.0,0.0,0.0,0
2012-02-02-14,0.0,0.0,0.0,0
2012-02-02-15,0.0,0.0,0.0,0
2012-02-02-17,0.0,0.0,0.0,0
2012-02-02-19,0.0,0.0,0.0,0
2012-02-02-20,0.0,0.0,0.0,0
2012-02-02-22,0.0,0.0,0.0,0
2012-02-02-23,0.0,0.0,0.0,0
2012-02-03-01,0.0,0.0,0.0,0
2012-02-03-03,0.0,0.0,0.0,0
2012-02-03-05,0.0,0.0,0.0,0
2012-02-03-06,0.0,0.0,0.0,0
2012-02-03-08,0.0,0.0,0.0,0
2012-02-03-10,0.0,0.0,0.0,0
2012-02-03-12,0.0,0.0,0.0,0
2012-02-03-13,0.0,0.0,0.0,0
2012-02-03-15,0.0,0.0,0.0,0
2012-02-03-17,0.0,0.0,0.0,0
2012-02-03-18,0.0,0.0,0.0,0
2012-02-03-22,0.0,0.0,0.0,0
2012-02-03-23,0.0,0.0,0.0,0
2012-02-04-01,1.63,1.63,1.63,0
2012-02-04-03,0.0,0.0,0.0,0
2012-02-04-04,0.0,0.0,0.0,0
