mean,median,max,time
20.82,17.91,206.1,2013-04-24 09:00:00
37.22,24.15,210.97,2013-04-25 09:00:00
32.07,18.37,226.07,2013-04-26 09:00:00
20.23,21.54,241.69,2013-04-27 09:00:00
23.25,15.9,248.73,2013-04-28 09:00:00
26.45,23.58,132.28,2013-04-29 09:00:00
34.08,36.28,179.51,2013-04-30 09:00:00
33.68,25.72,113.1,2013-08-10 09:00:00
21.09,22.87,205.1,2013-08-12 09:00:00
27.75,19.67,219.5,2013-08-13 09:00:00
32.83,22.37,224.48,2013-08-14 09:00:00
100.17,107.15,249.07,2013-08-15 09:00:00
53.95,40.49,224.48,2013-08-16 09:00:00
35.33,31.66,247.48,2013-08-18 09:00:00
106.21,120.81,248.84,2013-08-21 09:00:00
61.55,57.94,248.16,2013-08-22 09:00:00
28.05,22.09,127.52,2013-08-23 09:00:00
58.46,36.6,249.07,2013-08-24 09:00:00
68.55,59.16,249.07,2013-08-25 09:00:00
28.21,18.16,220.84,2013-08-28 06:00:00
35.52,16.66,230.18,2013-09-04 09:00:00
48.85,27.9,214.68,2013-09-10 09:00:00
28.71,22.28,188.16,2013-09-11 09:00:00
19.71,15.39,200.84,2013-09-13 06:00:00
42.39,19.63,211.27,2013-09-13 12:00:00
41.27,28.3,218.52,2013-09-17 06:00:00
24.97,22.29,249.07,2013-09-17 09:00:00
20.14,20.36,91.66,2013-09-18 09:00:00
30.6,28.79,109.6,2013-09-18 12:00:00
44.9,28.2,239.15,2013-09-20 06:00:00
46.91,37.39,249.07,2013-09-20 09:00:00
23.21,18.02,247.7,2013-09-20 12:00:00
28.33,21.31,139.72,2013-09-22 06:00:00
48.13,21.11,216.56,2013-09-24 09:00:00
18.34,17.49,114.77,2013-10-02 12:00:00
17.71,16.51,56.41,2013-10-07 09:00:00
29.45,24.37,189.28,2013-10-08 09:00:00
16.22,15.06,84.51,2013-10-09 03:00:00
55.33,38.42,238.02,2013-10-09 06:00:00
52.21,41.2,175.79,2013-10-09 09:00:00
77.12,71.52,235.85,2013-10-14 12:00:00
23.04,24.47,116.87,2013-10-15 03:00:00
53.47,43.23,242.89,2013-10-15 06:00:00
39.95,29.34,168.95,2013-10-15 09:00:00
15.96,18.08,77.31,2013-10-17 06:00:00
99.97,98.17,249.07,2013-10-17 09:00:00
28.28,25.96,98.18,2013-10-17 12:00:00
13.8,17.87,52.36,2013-10-19 03:00:00
17.28,17.66,37.75,2013-10-19 06:00:00
17.79,18.95,156.44,2013-10-19 12:00:00
22.25,19.88,240.18,2013-10-20 09:00:00
23.37,21.4,249.07,2013-10-20 12:00:00
18.98,20.58,56.34,2013-10-21 06:00:00
19.83,20.83,116.48,2013-10-21 09:00:00
21.45,20.61,248.96,2013-10-21 12:00:00
40.62,19.78,236.08,2013-10-22 09:00:00
20.62,19.97,248.96,2013-10-22 12:00:00
35.8,21.38,235.28,2013-10-23 09:00:00
37.24,23.37,222.45,2013-10-30 06:00:00
106.02,92.3,249.07,2013-10-30 09:00:00
73.45,52.33,249.07,2013-10-30 12:00:00
24.03,15.69,205.89,2013-11-01 06:00:00
45.63,39.08,207.03,2013-11-01 09:00:00
32.98,30.88,95.81,2013-11-01 12:00:00
25.22,17.76,223.69,2013-11-03 06:00:00
33.59,29.07,184.39,2013-11-03 09:00:00
33.35,15.74,219.38,2013-11-04 09:00:00
25.13,17.78,173.32,2013-11-04 12:00:00
18.41,15.7,81.22,2013-11-05 09:00:00
52.98,54.31,220.04,2013-11-07 06:00:00
107.63,91.25,249.07,2013-11-07 09:00:00
51.96,41.02,243.46,2013-11-07 12:00:00
19.46,15.78,113.9,2013-11-09 03:00:00
53.08,52.82,141.13,2013-11-09 06:00:00
44.66,28.18,238.36,2013-11-09 09:00:00
32.64,30.01,128.01,2013-11-09 12:00:00
26.68,25.51,89.45,2013-11-10 09:00:00
33.45,19.35,118.8,2013-11-11 03:00:00
67.41,63.15,217.06,2013-11-11 06:00:00
94.3,91.86,238.66,2013-11-11 09:00:00
49.25,46.19,146.28,2013-11-11 12:00:00
31.55,32.58,172.35,2013-11-11 15:00:00
15.9,17.49,27.74,2013-11-13 06:00:00
16.59,15.26,57.06,2013-11-13 12:00:00
15.54,17.47,65.08,2013-11-16 15:00:00
22.58,22.63,211.7,2013-11-17 03:00:00
15.92,17.62,26.09,2013-11-19 03:00:00
37.76,28.09,217.85,2013-11-20 09:00:00
73.52,54.28,248.5,2013-11-20 12:00:00
15.19,16.03,25.03,2013-11-22 12:00:00
12.2,15.13,31.81,2013-11-22 15:00:00
41.65,24.27,168.46,2013-11-23 06:00:00
76.26,75.87,213.0,2013-11-23 09:00:00
59.71,60.87,183.91,2013-11-23 12:00:00
14.82,16.46,57.73,2013-11-23 15:00:00
