segment,mean,median,max
2017-11-18-6,29.34,17.88,239.45
2017-11-18-9,32.16,22.68,197.55
2017-11-18-12,28.02,18.63,146.51
2017-11-21-3,35.61,26.81,247.9
2017-11-21-6,99.26,83.77,249.07
2017-11-21-9,56.92,46.95,249.07
2017-11-21-12,42.5,40.36,206.75
2017-11-21-15,38.88,42.17,205.21
2017-11-22-12,26.42,25.26,72.87
2017-11-22-15,23.27,24.46,63.71
2017-11-23-9,35.46,31.54,116.3
2017-11-23-12,23.33,23.22,70.68
2017-11-24-6,27.65,23.34,236.46
2017-11-24-9,23.92,23.02,59.52
2017-11-25-6,18.17,17.09,76.11
2017-11-25-9,24.73,20.87,161.53
2017-11-28-6,22.29,18.89,248.5
2017-11-28-9,81.75,79.78,249.07
2017-11-28-12,43.44,30.7,203.97
2017-11-29-3,17.21,17.69,31.11
2017-11-29-6,36.19,24.74,248.96
2017-11-30-3,23.88,25.51,72.17
2017-11-30-6,21.87,20.18,235.64
2017-11-30-9,36.38,29.85,206.41
2017-11-30-12,48.18,38.2,221.05
2017-11-30-15,21.25,19.14,155.05
2017-12-01-12,35.8,27.82,116.54
2017-12-02-15,31.62,31.82,112.33
2017-12-05-15,93.92,90.42,239.45
2017-12-07-6,21.33,18.97,227.06
2017-12-07-12,65.69,53.6,246.34
2017-12-08-9,26.62,23.73,109.76
2017-12-08-12,32.32,30.85,90.82
2017-12-08-15,19.84,20.14,248.5
2017-12-09-12,24.31,20.27,95.77
2017-12-09-15,22.89,21.37,248.16
2017-12-10-12,20.23,20.16,55.75
2017-12-11-9,29.55,22.77,218.37
2017-12-11-12,94.73,89.52,222.0
2017-12-11-15,21.5,23.02,54.66
2017-12-12-6,63.2,45.72,241.31
2017-12-12-9,66.14,52.76,237.66
2017-12-12-12,27.44,18.3,146.35
2017-12-13-9,26.09,18.18,108.2
2017-12-13-12,33.23,31.49,82.44
2017-12-13-15,17.57,16.55,50.73
2017-12-17-6,55.32,52.44,232.14
2017-12-17-9,85.04,56.3,232.87
2017-12-17-12,58.89,59.94,182.21
2017-12-17-15,48.05,40.97,140.32
2017-12-18-6,48.19,31.97,226.75
2017-12-18-9,30.45,30.45,72.14
2017-12-18-12,22.32,19.74,89.55
2017-12-20-9,50.84,46.55,196.17
2017-12-21-9,26.96,15.88,133.62
2017-12-21-12,21.1,16.98,103.85
