segment,mean,median,max
2015-01-16-13,43.43,43.76,76.17
2015-01-16-14,22.30,20.70,61.06
2015-01-16-15,9.79,10.09,23.82
2015-01-16-16,7.66,8.04,23.40
2015-01-16-17,17.45,16.59,37.23
2015-01-16-18,0.31,0.00,18.13
2015-01-16-19,0.00,0.00,0.00
2015-01-16-20,0.00,0.00,0.00
2015-01-16-21,0.00,0.00,0.00
2015-01-16-22,0.00,0.00,0.00
2015-01-16-23,0.00,0.00,0.00
2015-01-17-0,0.00,0.00,0.00
2015-01-17-1,0.00,0.00,0.00
2015-01-17-2,20.44,18.25,68.06
2015-01-17-3,6.58,6.53,21.47
2015-01-17-4,5.75,5.65,21.77
2015-01-17-5,9.82,8.31,36.73
2015-01-17-6,8.00,5.95,37.58
2015-01-17-7,7.87,5.94,34.98
2015-01-17-8,9.46,7.12,31.38
2015-01-17-9,18.03,12.79,192.58
2015-01-17-10,50.89,35.98,225.86
2015-01-17-11,32.46,25.94,188.29
2015-01-17-12,13.57,11.56,166.45
2015-01-17-13,8.69,7.42,28.13
2015-01-17-14,8.58,6.22,30.03
2015-01-17-15,9.44,6.25,39.51
2015-01-17-16,9.45,6.23,41.50
2015-01-17-17,24.03,23.19,96.53
2015-01-17-18,0.38,0.00,26.19
2015-01-17-19,0.00,0.00,0.00
2015-01-17-20,0.00,0.00,0.00
2015-01-17-21,0.00,0.00,0.00
2015-01-17-22,0.00,0.00,0.00
2015-01-17-23,0.00,0.00,0.00
2015-01-18-0,0.00,0.00,0.00
2015-01-18-1,0.00,0.00,0.00
2015-01-18-2,15.05,14.84,31.96
2015-01-18-3,7.15,6.86,24.71
2015-01-18-4,5.46,4.76,24.12
2015-01-18-5,4.90,4.16,23.53
2015-01-18-6,4.64,4.45,21.77
2015-01-18-7,4.70,4.46,22.95
2015-01-18-8,5.40,5.04,19.36
2015-01-18-9,5.79,4.75,25.25
2015-01-18-10,10.29,5.36,215.13
2015-01-18-11,11.10,5.94,172.35
2015-01-18-12,18.19,10.71,123.01
2015-01-18-13,14.87,9.81,105.48
2015-01-18-14,2.44,0.00,97.21
2015-01-18-15,0.00,0.00,0.00
2015-01-18-16,0.00,0.00,0.00
2015-01-18-17,0.00,0.00,0.00
2015-01-18-18,0.00,0.00,0.00
2015-01-18-19,0.00,0.00,0.00
2015-01-18-20,0.00,0.00,0.00
2015-01-18-21,0.00,0.00,0.00
2015-01-18-22,0.00,0.00,0.00
2015-01-18-23,0.00,0.00,0.00
2015-01-19-0,0.00,0.00,0.00
