segment,mean,median,max
2020-03-01-15,6.98,0.00,65.54
2020-03-01-18,0.00,0.00,0.00
2020-03-01-21,0.00,0.00,0.00
2020-03-02-0,0.00,0.00,0.00
2020-03-02-3,7.86,7.24,33.31
2020-03-02-6,9.27,9.90,17.75
2020-03-02-9,11.90,9.85,37.37
2020-03-02-12,17.25,9.79,62.96
2020-03-02-15,7.99,0.00,71.98
2020-03-02-18,0.00,0.00,0.00
2020-03-02-21,0.00,0.00,0.00
2020-03-03-0,0.00,0.00,0.00
2020-03-03-3,9.08,6.63,224.48
2020-03-03-6,8.61,7.88,26.82
2020-03-03-9,20.75,11.38,248.39
2020-03-03-12,18.51,15.30,55.18
2020-03-03-15,11.96,0.00,145.69
2020-03-03-18,0.00,0.00,0.00
2020-03-03-21,0.00,0.00,0.00
2020-03-04-0,0.00,0.00,0.00
2020-03-04-3,9.42,1.78,60.05
2020-03-04-6,15.75,16.31,28.55
2020-03-04-9,22.53,16.53,94.98
2020-03-04-12,17.68,15.34,248.62
2020-03-04-15,19.98,0.00,210.97
2020-03-04-18,0.00,0.00,0.00
2020-03-04-21,0.00,0.00,0.00
2020-03-05-0,0.00,0.00,0.00
2020-03-05-3,8.45,5.68,75.13
2020-03-05-6,11.45,11.59,29.19
2020-03-05-9,14.84,13.48,36.75
2020-03-05-12,14.95,14.96,249.07
2020-03-05-15,6.81,0.00,142.26
2020-03-05-18,0.00,0.00,0.00
2020-03-05-21,0.00,0.00,0.00
2020-03-06-0,0.00,0.00,0.00
2020-03-06-3,9.02,0.00,100.01
2020-03-06-6,12.83,12.79,27.26
2020-03-06-9,68.02,82.65,205.97
2020-03-06-12,36.11,24.94,248.73
2020-03-06-15,5.26,0.00,129.46
2020-03-06-18,0.00,0.00,0.00
2020-03-06-21,0.00,0.00,0.00
2020-03-07-0,0.00,0.00,0.00
2020-03-07-3,1.02,0.00,28.27
2020-03-07-12,20.27,22.89,56.75
2020-03-07-15,5.29,0.00,42.75
2020-03-07-18,0.00,0.00,0.00
2020-03-07-21,0.00,0.00,0.00
2020-03-08-0,0.00,0.00,0.00
2020-03-08-3,0.93,0.00,28.39
2020-03-08-12,0.72,0.00,26.06
2020-03-08-15,0.00,0.00,0.00
2020-03-08-18,0.00,0.00,0.00
2020-03-08-21,0.00,0.00,0.00
2020-03-09-0,0.00,0.00,0.00
2020-03-09-3,0.18,0.00,28.27
2020-03-09-15,0.28,0.00,29.79
2020-03-09-18,0.00,0.00,0.00
2020-03-09-21,0.00,0.00,0.00
2020-03-10-0,0.00,0.00,0.00
2020-03-10-3,6.93,0.00,38.92
2020-03-10-6,21.79,22.95,249.07
2020-03-10-15,1.59,0.00,57.92
2020-03-10-18,0.00,0.00,0.00
2020-03-10-21,0.00,0.00,0.00
2020-03-11-0,0.00,0.00,0.00
2020-03-11-3,6.86,0.00,222.13
2020-03-11-6,10.57,8.77,247.25
2020-03-11-9,15.21,14.41,33.05
2020-03-11-12,15.86,14.95,132.87
2020-03-11-15,5.30,0.00,146.97
2020-03-11-18,0.00,0.00,0.00
2020-03-11-21,0.00,0.00,0.00
2020-03-12-0,0.00,0.00,0.00
2020-03-12-3,5.80,0.00,133.17
2020-03-12-6,16.67,15.99,50.96
2020-03-12-9,17.26,17.36,32.58
2020-03-12-12,32.06,23.95,227.48
2020-03-12-15,2.57,0.00,90.81
2020-03-12-18,0.00,0.00,0.00
2020-03-12-21,0.00,0.00,0.00
2020-03-13-0,0.00,0.00,0.00
2020-03-13-3,5.92,0.00,64.32
2020-03-13-6,6.68,6.17,33.02
2020-03-13-9,46.85,36.84,222.41
2020-03-13-12,10.82,9.97,51.00
2020-03-13-15,2.74,0.00,49.93
2020-03-13-18,0.00,0.00,0.00
2020-03-13-21,0.00,0.00,0.00
2020-03-14-0,0.00,0.00,0.00
2020-03-14-3,4.73,0.00,129.41
2020-03-14-6,2.28,2.50,8.08
2020-03-14-9,5.47,3.50,21.16
2020-03-14-12,10.52,9.35,104.13
2020-03-14-15,2.17,0.00,97.27
2020-03-14-18,0.00,0.00,0.00
2020-03-14-21,0.00,0.00,0.00
2020-03-15-0,0.00,0.00,0.00
2020-03-15-3,3.71,0.00,33.23
2020-03-15-6,1.80,1.79,6.69
2020-03-15-9,7.13,4.27,30.24
2020-03-15-12,9.33,6.51,42.02
2020-03-15-15,1.16,0.00,41.90
2020-03-15-18,0.00,0.00,0.00
2020-03-15-21,0.00,0.00,0.00
2020-03-16-0,0.00,0.00,0.00
2020-03-16-3,4.94,0.00,45.61
2020-03-16-6,3.54,3.39,11.36
2020-03-16-9,8.10,8.03,19.53
2020-03-16-12,19.86,18.17,71.68
2020-03-16-15,1.40,0.00,71.16
2020-03-16-18,0.00,0.00,0.00
2020-03-16-21,0.00,0.00,0.00
2020-03-17-0,0.00,0.00,0.00
2020-03-17-3,3.36,0.00,29.57
2020-03-17-6,9.27,3.99,111.74
2020-03-17-9,46.04,30.07,223.83
2020-03-17-12,28.66,31.58,105.00
2020-03-17-15,0.00,0.00,0.00
2020-03-17-18,0.00,0.00,0.00
2020-03-17-21,0.00,0.00,0.00
2020-03-18-0,0.00,0.00,0.00
2020-03-18-3,4.63,0.00,36.20
2020-03-18-6,1.60,1.61,4.63
2020-03-18-9,1.87,1.91,4.72
2020-03-18-12,12.08,3.62,83.03
2020-03-18-15,0.00,0.00,0.00
2020-03-18-18,0.00,0.00,0.00
2020-03-18-21,0.00,0.00,0.00
2020-03-19-0,0.00,0.00,0.00
2020-03-19-3,5.02,0.00,42.96
2020-03-19-6,30.13,15.86,188.65
2020-03-19-9,45.52,35.79,196.35
2020-03-19-12,44.94,41.49,159.55
2020-03-19-15,0.00,0.00,0.00
2020-03-19-18,0.00,0.00,0.00
2020-03-19-21,0.00,0.00,0.00
2020-03-20-0,0.00,0.00,0.00
2020-03-20-3,3.37,0.00,34.19
2020-03-20-6,2.67,2.79,7.94
2020-03-20-9,1.86,1.78,6.38
2020-03-20-12,5.88,2.08,40.32
2020-03-20-15,0.00,0.00,0.00
2020-03-20-18,0.00,0.00,0.00
2020-03-20-21,0.00,0.00,0.00
2020-03-21-0,0.00,0.00,0.00
2020-03-21-3,4.88,0.00,37.06
2020-03-21-6,18.92,15.29,99.66
2020-03-21-9,26.43,22.34,96.95
2020-03-21-12,22.73,20.16,84.66
2020-03-21-15,0.00,0.00,0.00
2020-03-21-18,0.00,0.00,0.00
2020-03-21-21,0.00,0.00,0.00
2020-03-22-0,0.00,0.00,0.00
2020-03-22-3,5.01,0.00,46.34
2020-03-22-6,5.37,4.57,19.15
2020-03-22-9,38.85,38.46,188.00
2020-03-22-12,19.58,15.66,69.30
2020-03-22-15,0.00,0.00,0.00
2020-03-22-18,0.00,0.00,0.00
2020-03-22-21,0.00,0.00,0.00
2020-03-23-0,0.00,0.00,0.00
2020-03-23-3,5.65,0.00,72.37
2020-03-23-6,2.79,2.68,30.96
2020-03-23-9,35.46,29.78,135.78
2020-03-23-12,17.13,9.65,141.10
2020-03-23-15,0.00,0.00,0.00
2020-03-23-18,0.00,0.00,0.00
2020-03-23-21,0.00,0.00,0.00
2020-03-25-0,0.00,0.00,0.00
2020-03-25-3,3.11,0.00,35.49
2020-03-25-6,2.64,2.79,9.27
2020-03-25-9,4.65,5.27,9.43
2020-03-25-12,6.79,4.08,48.50
2020-03-25-15,0.00,0.00,0.00
2020-03-25-18,0.00,0.00,0.00
2020-03-25-21,0.00,0.00,0.00
2020-03-26-0,0.00,0.00,0.00
